word,is_laugh
и,0
в,0
не,0
он,0
на,0
я,0
что,0
тот,0
быть,0
с,0
а,0
весь,0
это,0
как,0
она,0
по,0
но,0
они,0
к,0
у,0
ты,0
из,0
мы,0
за,0
вы,0
так,0
же,0
от,0
сказать,0
этот,0
который,0
мочь,0
человек,0
о,0
один,0
ещё,0
бы,0
такой,0
только,0
себя,0
своё,0
какой,0
когда,0
уже,0
для,0
вот,0
кто,0
да,0
говорить,0
год,0
знать,0
мой,0
до,0
или,0
если,0
время,0
рука,0
нет,0
самый,0
ни,0
стать,0
большой,0
даже,0
другой,0
наш,0
свой,0
ну,0
под,0
где,0
дело,0
есть,0
сам,0
раз,0
чтобы,0
два,0
там,0
чем,0
глаз,0
жизнь,0
первый,0
день,0
тут,0
во,0
ничто,0
потом,0
очень,0
со,0
хотеть,0
ли,0
при,0
голова,0
надо,0
без,0
видеть,0
идти,0
теперь,0
тоже,0
стоять,0
друг,0
дом,0
сейчас,0
можно,0
после,0
слово,0
здесь,0
думать,0
место,0
спросить,0
через,0
лицо,0
что,0
тогда,0
ведь,0
хороший,0
каждый,0
новый,0
жить,0
должный,0
смотреть,0
почему,0
потому,0
сторона,0
просто,0
нога,0
сидеть,0
понять,0
иметь,0
конечный,0
делать,0
вдруг,0
над,0
взять,0
никто,0
сделать,0
дверь,0
перед,0
нужный,0
понимать,0
казаться,0
работа,0
три,0
ваш,0
уж,0
земля,0
конец,0
несколько,0
час,0
голос,0
город,0
последний,0
пока,0
хорошо,0
давать,0
вода,0
более,0
хотя,0
всегда,0
второй,0
куда,0
пойти,0
стол,0
ребёнок,0
увидеть,0
сила,0
отец,0
женщина,0
машина,0
случай,0
ночь,0
сразу,0
мир,0
совсем,0
остаться,0
об,0
вид,0
выйти,0
дать,0
работать,0
любить,0
старый,0
почти,0
ряд,0
оказаться,0
начало,0
твой,0
вопрос,0
много,0
война,0
снова,0
ответить,0
между,0
подумать,0
опять,0
белый,0
деньги,0
значить,0
про,0
лишь,0
минута,0
жена,0
посмотреть,0
правда,0
главный,0
страна,0
свет,0
ждать,0
мать,0
будто,0
никогда,0
товарищ,0
дорога,0
однако,0
лежать,0
именно,0
окно,0
никакой,0
найти,0
писать,0
комната,0
Москва,0
часть,0
вообще,0
книга,0
маленький,0
улица,0
решить,0
далекий,0
душа,0
чуть,0
вернуться,0
утро,0
некоторый,0
считать,0
сколько,0
помнить,0
вечер,0
пол,0
таки,0
получить,0
народ,0
плечо,0
хоть,0
сегодня,0
бог,0
вместе,0
взгляд,0
ходить,0
зачем,0
советский,0
русский,0
бывать,0
полный,0
прийти,0
палец,0
Россия,0
любой,0
история,0
наконец,0
мысль,0
узнать,0
назад,0
общий,0
заметить,0
словно,0
прошлый,0
уйти,0
известный,0
давно,0
слышать,0
слушать,0
бояться,0
сын,0
нельзя,0
прямо,0
долго,0
быстро,0
лес,0
похожий,0
пора,0
пять,0
глядеть,0
оно,0
сесть,0
имя,0
ж,0
разговор,0
тело,0
молодой,0
стена,0
красный,0
читать,0
право,0
старик,0
ранний,0
хотеться,0
мама,0
оставаться,0
высокий,0
путь,0
поэтому,0
совершенно,0
кроме,0
тысяча,0
месяц,0
брать,0
написать,0
целый,0
огромный,0
начинать,0
спина,0
настоящий,0
пусть,0
язык,0
точно,0
среди,0
чувствовать,0
сердце,0
вести,0
иногда,0
мальчик,0
успеть,0
небо,0
живой,0
смерть,0
продолжать,0
девушка,0
образ,0
ко,0
забыть,0
вокруг,0
письмо,0
власть,0
чёрный,0
пройти,0
появиться,0
воздух,0
разный,0
выходить,0
просить,0
брат,0
собственный,0
отношение,0
затем,0
пытаться,0
показать,0
вспомнить,0
система,0
четыре,0
квартира,0
держать,0
также,0
любовь,0
солдат,0
откуда,0
чтоб,0
называть,0
третий,0
хозяин,0
вроде,0
уходить,0
подойти,0
поднять,0
особенно,0
спрашивать,0
начальник,0
оба,0
бросить,0
школа,0
парень,0
кровь,0
двадцать,0
солнце,0
неделя,0
послать,0
находиться,0
ребята,0
поставить,0
встать,0
например,0
шаг,0
мужчина,0
равно,0
нос,0
мало,0
внимание,0
капитан,0
ухо,0
туда,0
сюда,0
играть,0
следовать,0
рассказать,0
великий,0
действительно,0
слишком,0
тяжёлый,0
спать,0
оставить,0
войти,0
длинный,0
чувство,0
молчать,0
рассказывать,0
отвечать,0
становиться,0
остановиться,0
берег,0
семья,0
искать,0
генерал,0
момент,0
десять,0
начать,0
следующий,0
личный,0
труд,0
верить,0
группа,0
немного,0
впрочем,0
видно,0
являться,0
муж,0
разве,0
движение,0
порядок,0
ответ,0
тихо,0
знакомый,0
газета,0
помощь,0
сильный,0
скорый,0
собака,0
дерево,0
снег,0
сон,0
смысл,0
смочь,0
против,0
бежать,0
двор,0
форма,0
простой,0
приехать,0
иной,0
кричать,0
возможность,0
общество,0
зеленый,0
грудь,0
угол,0
открыть,0
происходить,0
ладно,0
черный,0
век,0
карман,0
ехать,0
немец,0
наверное,0
губа,0
дядя,0
приходить,0
часто,0
домой,0
огонь,0
писатель,0
армия,0
состояние,0
зуб,0
очередь,0
кой,0
подняться,0
камень,0
гость,0
показаться,0
ветер,0
собираться,0
попасть,0
принять,0
сначала,0
либо,0
поехать,0
услышать,0
уметь,0
случиться,0
странный,0
единственный,0
рота,0
закон,0
короткий,0
море,0
добрый,0
темный,0
гора,0
врач,0
край,0
стараться,0
лучший,0
река,0
военный,0
мера,0
страшный,0
вполне,0
звать,0
произойти,0
вперед,0
медленно,0
возле,0
никак,0
заниматься,0
действие,0
довольно,0
вещь,0
необходимый,0
ход,0
боль,0
судьба,0
причина,0
положить,0
едва,0
черта,0
девочка,0
лёгкий,0
волос,0
купить,0
номер,0
основной,0
широкий,0
умереть,0
