word,is_laugh
хпвпвхаапх,1
пвахпапхвх,1
хпвхппаахв,1
ряд,0
ваавппххпх,1
хвпахппхва,1
хпхвпахпва,1
ппхпаахвхв,1
пвхаппвахх,1
хпхпапвхав,1
аавхвппххп,1
пвахвххпап,1
апввхппх,1
вхпапапвхх,1
ххавпапхпв,1
павпххвпах,1
хвпппавх,1
пххвваахпп,1
аапххпхпвв,1
хпвавппх,1
пхввхпахап,1
ахапхввпхп,1
хавхпвппха,1
ххаппавпвх,1
хвппапхв,1
они,0
впавххпапх,1
пхпаввхпха,1
хпхпввпхаа,1
пвхап,1
хппапхвхва,1
апххвахвпп,1
пахвваппхх,1
хавппхвахп,1
апввпхпх,1
вхавхавха,1
апаххппвхв,1
хапввххапп,1
вппхавххап,1
хпвахапхвп,1
пхпвахвхпа,1
пхвхпапвха,1
вхппвхпаах,1
хавхпхпвап,1
хавапвхпхп,1
ваххвпппах,1
вххпвпаапх,1
хппхвапвха,1
вппхвхпаха,1
авпхваппхх,1
аахввхпхпп,1
хвхппаавхп,1
ахвхпвпхап,1
пхххвппваа,1
пхпахвхапв,1
авахпппвхх,1
пххаавпвхп,1
хвхпаавхпп,1
ахпхппвхва,1
хавапвпххп,1
пвпххавхап,1
хпвхавхпап,1
хпаахвппвх,1
пвахвпаххп,1
вхпхаппв,1
пвххвппхаа,1
аппвххпвах,1
хвваххппап,1
хввахпхпап,1
хппвапххва,1
авхпхвпапх,1
пхахвппв,1
пххаввпапх,1
вхвхпппаах,1
ахввхппхпа,1
хвххпппава,1
паххввахпп,1
ваппххвпах,1
хаахвпхвпп,1
хпаппхвхав,1
апапххпввх,1
паавхвпххп,1
ппххавпахв,1
пхппвхваха,1
вхаппххпав,1
впахххвапп,1
хпввххаапп,1
ахавппхвхп,1
ппхахв,1
авахппхпвх,1
ппххпваахв,1
апхххавппв,1
ххппввапха,1
павахпхвхп,1
вапахппвхх,1
ппавпахххв,1
аваппвхпхх,1
хвпххаппва,1
ввппахаххп,1
хпааппххвв,1
хиихв,1
хпхвпхпаав,1
хпапвхпхва,1
хвпхвахппа,1
ххппахвпва,1
ппапхвххав,1
ввпппхахха,1
район,0
думать,0
пваавппххх,1
хвппвхпхаа,1
впхпххпава,1
хихих,1
хпхпавхпва,1
апхввхпхап,1
ахапппвхвх,1
ахвваппхпх,1
ххпахвпвпа,1
хпвпвххапа,1
хахввпппах,1
авхпавппхх,1
хвпааххвпп,1
пххахпаввп,1
папхвхпв,1
паппвхххав,1
хпххапввап,1
аапвхпхпвх,1
аххвппп,1
вхпхпаавхп,1
хаппхавпхв,1
пвпахвапхх,1
пххахапввп,1
ппхапвхв,1
пххавпвхпа,1
вхппвхап,1
ввпахппхах,1
павхвхахпп,1
хххвпавппа,1
хвахпхпвап,1
ввххпаахпп,1
хпавхпахпв,1
вххапаппвх,1
впаахпхвхп,1
пахпвапвхх,1
пхаапххпвв,1
ваххвпхппа,1
ввпхапхп,1
ахапххввпп,1
хавапхвхпп,1
впхаххпвпа,1
вавххппахп,1
павхаххппв,1
хапхвпхвап,1
ихихих,1
хахппаввхп,1
хаха,1
аввпхпхпха,1
хпавххпвап,1
апххвваппх,1
вхпхппавах,1
ххпаввпхап,1
аппхвапхвх,1
ахаппвпххв,1
ахвппвпхха,1
ввххпаапхп,1
ххаапхввпп,1
ппхахавхвп,1
ххавппвпха,1
пхавпхпв,1
ппхввахапх,1
ахпвхпвпах,1
аххпаввппх,1
хахпвпп,1
ппхахвп,1
хпхпвахвпа,1
хвхвппапах,1
ххвапаппхв,1
хпавххпавп,1
хпвхпаапхв,1
пхахппввах,1
пааххппввх,1
ххавпвпапх,1
хахахвпвпп,1
пхвххвппаа,1
вавххапхпп,1
пхввппаахх,1
папвххвхап,1
пхпхп,1
пхпаавххпв,1
ппвпааххвх,1
ввхппхаахп,1
хвпппааххв,1
хввпааппхх,1
пвххаавпхп,1
вахвхапхпп,1
пхххвавпап,1
хппапавхвх,1
ахавппхпвх,1
хвппвхахап,1
пхахпапвхв,1
пхпхавхвпа,1
хвппхахвпа,1
пвхвхапхап,1
пхвпапхвха,1
хпапххввпа,1
хвхппваахп,1
пввхапхапх,1
паапххввхп,1
пахвппхвах,1
пххваавпхп,1
вппаахпххв,1
пвпхапхвах,1
апхвпапхвх,1
пааххппхвв,1
павпвхахпх,1
пхпапхвхва,1
пххпвваапх,1
папххввапх,1
аваххппвхп,1
хапвхвпп,1
вххапппхва,1
паввхппахх,1
ххвапвпп,1
хввппхап,1
хваппхавпх,1
ппваххахпв,1
пхавпвпахх,1
ахвпахпвхп,1
ваппвххп,1
вхаапхвпхп,1
аххппв,1
ававхпхппх,1
хвпппахв,1
хвахпавпхп,1
вхвппхпаах,1
вххпхпавпа,1
хихи,1
пхавхвхпап,1
пвххппваха,1
хвхапп,1
хввапаппхх,1
апххппвавх,1
ххвхаппвпа,1
хпапвпвх,1
ваахпхвппх,1
пххвппавах,1
половина,0
авххпвхпап,1
вххппхвпаа,1
вххпахппав,1
апвпххпхва,1
вапххавппх,1
ппхвххапва,1
ххпахпвапв,1
пхпавхвхап,1
апаххпвпхв,1
ххпхапвапв,1
апхпхвавхп,1
апапхпххвв,1
пвхвхппаах,1
авхпвхппах,1
ххпавппахв,1
паввхапххп,1
ппахахпввх,1
опыт,0
аххпапвпхв,1
пахпаввххп,1
пхххвпваап,1
авхапхппхв,1
пвххаппхва,1
ввхапххпап,1
хвппапххва,1
хпхаахвппв,1
пхпвах,1
хапввпххап,1
павхпвхапх,1
хахаха,1
ппапвавххх,1
хвпхаахпвп,1
хахаха,1
пвпвапххха,1
пппваххавх,1
ххаппхпвва,1
апввапхххп,1
ваппхпххав,1
ппххвапхва,1
вахвхапппх,1
пхвхпваапх,1
хавхпвапхп,1
ппапахвххв,1
вааххпвпхп,1
пхапвпх,1
вапхавпхпх,1
вхахпппавх,1
хввппахпха,1
ххпаха,1
хппххвапва,1
хахпвппвха,1
авпхпахвхп,1
болезнь,0
автор,0
ваххаппвпх,1
вхпавхпп,1
аапхпхввпх,1
впхапвахпх,1
пхавхпхпва,1
ппавхпвхха,1
аваххпхпвп,1
впхпхаахпв,1
ххпхавпавп,1
ахаввпхпхп,1
хппхпахвва,1
апавхпвххп,1
сад,0
аххапхпвпв,1
